id;nume;telefon;email
1;notwithstanding vice;close community hmph;Margaret_Rippin86@yahoo.com
2;freely verify;anxiously;Vivienne_King@yahoo.com
3;crushing;inasmuch;Mckenna38@yahoo.com
4;confute dead;incidentally institute;Ima.Moore35@yahoo.com
5;badly amongst haversack;via across yawningly;Diego_Ratke91@gmail.com
6;amidst per describe;victorious instantly gently;Tobin96@hotmail.com
7;however physically while;grimy;Chaim_Collins@gmail.com
8;agile among er;indeed;Stevie_Runolfsson22@gmail.com
9;wombat via;trained exempt;Brant_Cummings42@yahoo.com
10;despite euphonium suspension;uh-huh until;Hallie8@yahoo.com
